"Mean","Variance"
0.00842343847379891,0.00132591828823459
0.00788881200417558,0.000552411684082685
0.00932026846473025,0.00129997775132669
0.00782888494313,0.000504546089834629
0.0117715064414508,0.0023117130561745
0.00725829015465942,0.000165499177351934
0.0061303083558135,0.000281015350142969
0.00901223239102433,0.000358806954819593
0.00850211914261233,0.00116957037805203
0.006896807953969,0.0000998498432813573
0.00585266550757108,0.000134982690308884
0.00628685318162941,0.000427416584721988
0.00723348070834558,0.000487194500172086
0.00940321992592575,0.00184248147469536
0.00578826039075125,0.000427425340519021
0.00782251690312692,0.00131671655733741
0.0145462120231124,0.00256811715766133
0.00513457079641692,0.000253564832384282
0.00914266964004408,0.00226233194443059
0.0142839050082281,0.0029640435932457
