"Mean","Variance"
0.669675270821098,0.045434771923637
0.669151596680223,0.0201316724763783
0.438421972370812,0.0616177546938627
0.322595713291413,0.0515056049516977
0.610272252800833,0.0343305427981767
0.653316040985198,0.0242500854297827
0.364688792142305,0.0355961203522407
0.225955857829289,0.0477066810088044
0.330080389893466,0.0667201213517416
0.547723746789365,0.0297367290467768
0.403876707834389,0.0726677134561478
0.484227166699325,0.0513185801682089
0.355492224436366,0.0557138802845389
0.58230805758133,0.0308594481910163
0.312192593373855,0.043337122542246
0.470454561048062,0.0368431593662529
0.335743619833561,0.0396756625073442
0.371301161055372,0.0192661684541364
0.068403046172419,0.0204226317168166
0.281716113882978,0.0476446012846939
0.37490079837876,0.0371464949738771
0.406386548761748,0.0177224560869498
0.125014879292748,0.0249744275247492
0.325786816477675,0.04615288169626
0.375387959563127,0.0347909395385054
0.373035307112268,0.0394829406361395
0.163945341179975,0.0286273810415766
0.2967575038291,0.0368703186538265
0.188333134724186,0.0513806942789991
0.345758752107992,0.0236702092443191
0.124422303618613,0.0294730146645063
0.294187257887346,0.0490189271633363
0.177581186655467,0.0298796329820738
0.39909853231886,0.0375616996481603
0.566521925476687,0.0277872886290797
0.530733374231185,0.0254108226510771
0.548765788552125,0.0427688359996583
0.412802037408875,0.0363169981901901
0.420427392084668,0.0344361314156367
0.349498284526465,0.0374080593608863
0.147593885524831,0.0321930298466999
0.149559767882735,0.0407041395774388
0.299436477537048,0.036219096125271
0.240934987429769,0.0496681683296558
0.543095297019868,0.030615775775977
0.611710185160707,0.0359214556401957
0.666213886307158,0.0200575134989905
0.408363056165744,0.0483191520076435
0.37645212121029,0.047029928092973
0.273160801959688,0.0536731008397042
0.221094637863929,0.0457082835212101
0.129648702222949,0.0374957254153043
0.248426187126185,0.0272118898526245
0.435114227457268,0.0357582689198375
0.577049470263022,0.0437564263409524
0.325819241073312,0.0477846050424074
0.578660425926503,0.0397694830634745
0.6147559836012,0.0364612043877034
0.455131774943117,0.0521366304695793
0.49741006817238,0.0424676926836348
0.337936961949168,0.0416095134486377
0.136759548916252,0.0273126138190185
0.0517071123957716,0.0152326168767792
0.229649275623813,0.0311205072949178
0.289884896763638,0.0624120665720168
