"Mean","Variance"
0.583726028450533,0.0548724822255732
0.58413185160415,0.0235356912105056
0.39545800764975,0.0510148912395352
0.282354653127108,0.0386675295485337
0.51825734600375,0.0363271600040374
0.568388513047317,0.0254409213017111
0.33180488215235,0.0286678806076211
0.215158973724625,0.0290241059432449
0.281333869039702,0.0515274726428675
0.472812685081317,0.022419649270996
0.329238326489557,0.0528209296172265
0.4237040745509,0.038980740043634
0.283585772603777,0.0469663399355147
0.502726568496983,0.0280471049077498
0.251001474883115,0.0261442653384744
0.413206250174967,0.0309205430005104
0.294847349816587,0.0308773054208029
0.305924357084233,0.0158989682876151
0.112708547984772,0.00583741041731745
0.252172440396008,0.0312481525942039
0.322736668208233,0.024157084652573
0.3212686113489,0.0152304407186232
0.151887406613502,0.0113651205991979
0.275701580592708,0.0332093229750407
0.32471328259695,0.0230878498778519
0.321409039084133,0.0314232778091113
0.177925346827642,0.0138471153590527
0.275872536746472,0.0240927262235752
0.179184461913825,0.0219070483167494
0.302423644735283,0.0186953876216803
0.1509631006594,0.00974867754707417
0.276900638963872,0.0382261302606967
0.17031204645592,0.011564015660814
0.349911181897617,0.028290283487325
0.478453208056417,0.0233505985187598
0.458591691227867,0.0280312301462219
0.454227029330717,0.0375626001557302
0.331774427629883,0.0309786397958236
0.347664818813817,0.0247212085628674
0.282709518102333,0.0365282593419107
0.180445842695728,0.0209321239231054
0.174029564039035,0.0213561876559946
0.245056736156673,0.0253953185763315
0.23019294199386,0.0302437386519996
0.420085282246117,0.0258196663530789
0.515461375346283,0.0341465859761891
0.573949942457667,0.0198076532937844
0.341169839775033,0.04095836751305
0.333215061162733,0.0351009082195948
0.224643406633763,0.027975966440969
0.203475658903568,0.021958754900539
0.151900094812438,0.0138797392899368
0.234978305783517,0.0151864366670338
0.351388322465833,0.0290914369498586
0.452909511302783,0.0479695601123261
0.29449678423905,0.0360304157934704
0.47353325840385,0.0442586141466798
0.546937703430383,0.0357895134635766
0.40345488178285,0.042167157625061
0.424967393372483,0.0336759002238251
0.298152250305572,0.0325441342052639
0.175975831267715,0.0180931130286527
0.11496286468474,0.00559156548210874
0.221925701074162,0.0219711553232854
0.247694837351267,0.0423623027902047
