"Mean","Variance"
0.321762149369872,0.0426573630425484
0.434320521285617,0.0344375738156722
0.243903629910492,0.0175572410203175
0.260089051917748,0.0263721089797625
0.208664357299088,0.0105038746713246
0.267792357087983,0.0154176030831928
0.212853694880432,0.0210711344865914
0.191282407436255,0.0268717931734648
0.270850339101747,0.0318522218047197
0.27501736171843,0.0261030277041994
0.234458500810593,0.0331797278915037
0.284477740174572,0.0150334963273707
0.21891660162701,0.033167806196757
0.303161703557433,0.0184113689124802
0.25405961339146,0.0389263984964965
0.261886169813227,0.0219899701829276
0.234963081392897,0.0171449908710711
0.193455683432875,0.00622484226939577
0.0987162000594328,0.00508804724599983
0.182271755722952,0.00899927997011134
0.25089721217642,0.0206372992575351
0.239119279919813,0.0159304959044656
0.136310216557915,0.00707285857740437
0.177537519575548,0.00852589066057009
0.228691849796723,0.0161893353639424
0.234118286283135,0.0205827326378126
0.143594479181657,0.00672594635469852
0.202144781294992,0.0156115143118755
0.160894830872197,0.00966482691553007
0.225190918107378,0.0207863185386726
0.141516343221373,0.012242559944128
0.18849529402819,0.0145080750125459
0.148511798114562,0.00732526476572371
0.253512750981138,0.0235556065662677
0.2610983714131,0.0147109052068529
0.22660572463499,0.0351998522534549
0.3813763774685,0.0323813736048412
0.280815700407667,0.019749142596905
0.245553863478067,0.0091177010066336
0.285518712131658,0.029524119314807
0.151309860718662,0.00942526719463875
0.141530842172292,0.00682056148290128
0.206011821803417,0.0115222851050966
0.189350004432312,0.0136674249533057
0.3519310514066,0.0209327718912027
0.349441032797717,0.0252529723837904
0.314236747451543,0.0312917763177432
0.304814509801968,0.0431658436848346
0.24944199824174,0.0163643098813353
0.19392170458865,0.0238026205904676
0.173028078193628,0.012773417887578
0.138393683976933,0.00587682253980901
0.16311231300767,0.00609367395176715
0.26303796823163,0.0172336644279291
0.305780710577695,0.050406805944898
0.159849880955658,0.0115885849135002
0.208137731741843,0.0109558328135653
0.484972499423367,0.0440857695642707
0.393444824655668,0.0490838828440753
0.262968332538317,0.023461610057517
0.224254459119283,0.0228006121165418
0.156678698863648,0.0101966291688585
0.110442568033753,0.00544574038418996
0.180508380220032,0.0156624485610013
0.196927816072353,0.0237559669796232
